"","day_num","max_temp","num_collisions"
"1868","3",73.9,599
"1870","3",77,686
"1871","1",84,614
"1872","6",72,613
"1873","5",79,765
"1874","2",81,632
"1877","5",82.9,793
"1879","7",88,505
"1880","6",90,631
"1881","5",82.9,774
"1882","5",82,690
"1883","1",80.1,643
"1884","2",75,613
"1887","1",93,804
"1888","1",91,808
"1889","5",75,737
"1890","1",90,680
"1891","7",90,702
"1892","7",80.1,475
"1893","2",79,717
"1895","3",87.1,751
"1896","5",80.1,770
"1898","6",84,599
"1900","1",84,733
"1901","5",75.9,743
"1902","3",82.9,744
"1904","1",75,624
"1905","2",88,813
"1907","3",93.9,754
"1909","2",87.1,681
"1910","2",91,812
"1913","3",78.1,730
"1915","7",88,620
"1917","4",82.9,683
"1918","6",81,595
"1919","2",84.9,709
"1920","1",87.1,718
"1921","4",82,569
"1922","1",82.9,758
"1923","7",81,509
"1924","1",87.1,774
"1925","4",89.1,666
"1926","3",90,778
"1927","3",70,658
"1929","4",82,767
"1930","5",75.9,657
"1931","5",84.9,608
"1932","4",72,563
"1933","4",70,552
"1934","3",84.9,772
"1935","5",78.1,771
"1936","1",75.9,662
"1937","6",81,580
"1939","3",66.9,675
"1940","6",79,557
"1941","2",90,703
"1942","4",82.9,744
"1944","1",79,634
"1945","5",84,811
"1946","5",88,747
"1947","6",81,505
"1948","2",82.9,652
"1950","2",78.1,635
"1951","6",75,513
"1952","6",84,753
"1954","3",77,622
"1956","3",84.9,646
"1957","7",88,487
"1958","2",77,682
"1959","6",79,635
"1960","5",73,749
"1961","7",81,526
"1962","7",87.1,525
"1963","1",81,659
"1964","7",91,569
"1967","7",88,587
"1968","4",73.9,634
"1969","3",89.1,663
"1971","6",88,395
"1972","5",77,818
"1975","7",73,535
"1976","6",77,571
"1977","2",63,660
"1979","3",77,576
"1980","3",75.9,615
"1981","3",84.9,763
"1983","1",78.1,613
"1984","4",84,833
"1985","5",72,693
"1986","2",57.9,642
"1987","1",82.9,646
"1988","5",64,791
"1990","1",69.1,691
"1991","4",71.1,686
"1994","6",86,637
"1995","3",91.9,406
"1997","2",91.9,678
"1998","2",82,709
"2000","4",88,642
"2007","5",82.9,700
"2010","4",82,603
"2011","7",82.9,467
"2012","5",84.9,685
"2014","7",78.1,485
