"","day_num","num_collisions"
"1651","6",514
"1652","4",626
"1653","5",728
"1654","1",729
"1656","3",714
"1657","7",455
"1683","7",533
"1684","2",721
"1687","5",751
"1692","5",753
"1694","7",582
"1695","6",651
"1697","7",627
"1698","4",689
"1700","7",553
"1701","4",643
"1702","5",710
"1704","7",477
"1705","6",677
"1706","7",468
"1707","3",698
"1708","2",662
"1712","7",533
"1713","2",613
"1716","4",845
"1717","4",815
"1718","3",687
"1723","7",559
"1724","5",734
"1725","6",635
"1726","7",516
"1727","7",578
"1728","7",590
"1730","1",622
"1731","7",537
"1732","6",706
"1733","1",610
"1736","1",731
"1738","7",515
"1739","4",761
"1740","3",739
"1741","3",651
"1742","4",737
"1744","5",757
"1747","1",552
"1750","1",644
"1751","2",757
"1755","6",611
"1758","1",686
"1760","7",593
"1761","6",654
"1763","4",660
"1764","6",623
"1765","3",667
"1766","6",584
"1767","7",477
"1768","6",622
"1769","3",803
"1771","5",732
"1773","5",845
"1774","3",591
"1779","4",697
"1780","6",557
"1783","3",706
"1784","3",582
"1787","4",734
"1788","2",615
"1789","4",693
"1791","2",720
"1792","4",670
"1794","2",688
"1795","6",700
"1797","7",604
"1799","2",829
"1804","4",598
"1806","1",745
"1807","2",648
"1809","2",675
"1810","2",593
"1811","3",540
"1812","4",675
"1813","7",559
"1814","7",423
"1816","4",654
"1817","6",637
"1818","5",728
"1820","4",681
"1822","5",692
"1826","4",615
"1827","5",451
"1829","4",771
"1830","6",665
"1831","4",670
"1833","2",666
"1834","5",708
"1835","1",698
"1836","3",706
"1837","2",569
"1838","1",819
"1840","5",660
"1841","6",596
"1842","5",728
"1843","7",466
"1844","6",591
"1845","1",669
"1846","1",707
"1847","6",660
"1848","2",762
"1849","6",598
"1850","5",748
"1851","7",559
"1852","3",655
"1853","4",535
"1854","1",656
"1856","6",620
"1860","1",528
"1861","2",622
"1862","3",621
"1863","6",688
"1864","1",506
"1866","2",663
"1867","4",605
"1868","3",599
"1870","3",686
"1871","1",614
"1872","6",613
"1873","5",765
"1874","2",632
"1877","5",793
"1879","7",505
"1880","6",631
"1881","5",774
"1882","5",690
"1883","1",643
"1884","2",613
"1887","1",804
"1888","1",808
"1889","5",737
"1890","1",680
"1891","7",702
"1892","7",475
"1893","2",717
"1895","3",751
"1896","5",770
"1898","6",599
"1900","1",733
"1901","5",743
"1902","3",744
"1904","1",624
"1905","2",813
"1907","3",754
"1909","2",681
"1910","2",812
"1913","3",730
"1915","7",620
"1917","4",683
"1918","6",595
"1919","2",709
"1920","1",718
"1921","4",569
"1922","1",758
"1923","7",509
"1924","1",774
"1925","4",666
"1926","3",778
"1927","3",658
"1929","4",767
"1930","5",657
"1931","5",608
"1932","4",563
"1933","4",552
"1934","3",772
"1935","5",771
"1936","1",662
"1937","6",580
"1939","3",675
"1940","6",557
"1941","2",703
"1942","4",744
"1944","1",634
"1945","5",811
"1946","5",747
"1947","6",505
"1948","2",652
"1950","2",635
"1951","6",513
"1952","6",753
"1954","3",622
"1956","3",646
"1957","7",487
"1958","2",682
"1959","6",635
"1960","5",749
"1961","7",526
"1962","7",525
"1963","1",659
"1964","7",569
"1967","7",587
"1968","4",634
"1969","3",663
"1971","6",395
"1972","5",818
"1975","7",535
"1976","6",571
"1977","2",660
"1979","3",576
"1980","3",615
"1981","3",763
"1983","1",613
"1984","4",833
"1985","5",693
"1986","2",642
"1987","1",646
"1988","5",791
"1990","1",691
"1991","4",686
"1994","6",637
"1995","3",406
"1997","2",678
"1998","2",709
"2000","4",642
"2007","5",700
"2010","4",603
"2011","7",467
"2012","5",685
"2014","7",485
"2015","1",580
"2016","5",650
"2021","5",726
"2023","7",545
"2025","4",605
"2026","3",553
"2030","1",557
"2031","7",463
"2032","3",654
"2033","7",521
"2035","4",603
"2041","2",706
"2042","1",656
"2044","6",597
"2047","3",565
"2050","6",602
"2051","4",740
"2052","7",554
"2053","7",498
"2056","6",550
"2057","5",490
"2058","2",657
"2059","1",598
"2060","7",563
"2062","1",719
"2066","4",774
"2068","4",606
"2070","1",639
"2072","4",739
"2074","1",592
"2075","2",601
"2076","3",553
"2078","1",530
"2079","2",643
"2081","1",672
"2082","2",658
"2083","5",542
"2085","2",587
"2086","4",394
"2087","1",668
"2088","3",680
"2090","7",448
"2091","2",663
"2092","3",690
"2093","4",577
"2096","2",424
"2098","5",549
"2101","4",610
"2102","4",709
"2103","3",688
"2104","4",720
"2105","3",551
"2107","7",515
"2109","2",606
"2110","6",648
"2112","2",591
"2113","6",451
"2114","4",626
"2115","3",626
"2124","3",629
"2126","3",609
"2127","1",633
"2128","1",617
"2132","7",494
"2133","1",626
"2134","3",627
"2135","2",661
"2136","1",719
"2137","6",471
"2139","2",587
"2140","3",605
"2141","3",611
"2142","7",545
"2143","1",597
"2145","2",664
"2146","3",614
"2149","4",620
"2150","5",753
"2151","1",667
"2152","7",471
"2153","4",584
"2154","2",638
"2155","3",604
"2157","7",476
"2158","7",574
"2160","2",662
"2162","5",603
"2163","6",389
"2164","4",741
"2165","1",505
"2167","6",599
"2168","2",680
"2169","7",566
"2170","1",567
"2172","6",577
"2174","5",798
"2175","5",659
"2176","6",490
"2178","5",638
"2179","1",637
"2180","7",464
"2181","3",698
"2184","7",512
"2185","5",733
"2186","7",564
"2187","4",438
"2188","2",727
"2189","6",585
"2191","4",611
"2193","7",376
"2194","1",641
"2195","5",752
"2196","2",638
"2197","1",698
"2199","1",618
"2200","1",649
"2202","7",529
"2203","4",550
"2204","5",753
"2205","1",488
"2206","7",540
"2209","3",657
"2211","1",581
"2212","3",630
"2213","6",649
"2214","2",524
"2215","4",522
"2217","4",658
"2219","5",653
"2220","4",587
"2222","6",558
"2223","3",658
"2224","2",571
"2225","6",536
"2227","2",648
"2230","3",747
"2231","1",533
"2232","5",642
"2233","6",516
"2234","5",654
"2235","3",677
"2236","4",567
"2237","7",508
"2238","2",646
"2239","3",620
"2240","6",561
"2241","7",475
"2242","4",636
"2243","3",571
"2244","6",534
"2245","5",624
"2246","5",697
"2247","5",612
"2248","3",432
"2250","4",731
"2251","7",551
"2252","3",559
"2253","5",360
"2254","2",688
"2255","7",477
"2256","7",497
"2258","6",623
"2259","5",666
"2260","1",614
"2261","2",540
"2262","2",584
"2263","1",564
"2264","4",591
"2267","2",553
"2268","5",747
"2269","1",617
"2270","6",516
"2271","6",513
"2273","7",447
"2274","2",616
"2276","2",582
"2277","7",537
"2278","3",706
"2280","7",441
"2284","5",774
"2285","3",635
"2286","1",528
"2287","5",707
"2288","1",693
"2289","6",595
"2291","3",607
"2292","6",528
"2293","2",583
"2295","2",594
"2296","7",538
"2299","6",586
"2300","6",498
"2301","4",623
"2303","7",451
"2304","1",727
"2305","3",635
"2307","3",612
"2310","7",439
"2311","3",683
"2313","4",604
"2314","6",622
"2315","1",725
"2316","4",539
"2318","5",638
"2319","5",709
"2320","1",591
"2321","7",606
"2322","3",618
"2323","2",699
"2324","2",654
"2325","5",674
"2326","6",480
"2327","4",717
"2328","6",570
"2330","1",595
"2331","4",759
"2332","2",595
"2335","5",576
"2336","1",614
"2337","6",526
"2339","3",591
"2342","3",569
"2343","6",650
"2344","7",527
"2347","5",617
"2348","2",526
"2349","7",451
"2351","6",551
"2353","1",620
"2354","5",769
"2355","4",686
"2356","2",574
"2359","6",575
"2361","5",604
"2362","6",505
"2363","5",599
"2364","4",507
"2365","6",512
"2366","5",756
"2367","4",659
"2368","1",473
"2370","3",528
"2372","3",655
"2373","7",552
"2374","2",577
"2375","2",547
"2376","6",552
"2377","6",539
"2378","2",701
"2379","7",467
"2380","6",568
"2382","5",749
"2383","4",713
"2386","7",573
"2387","2",606
"2389","3",522
"2392","3",600
"2393","6",504
"2394","7",499
"2395","3",660
"2396","5",681
"2397","5",707
"2400","1",632
"2401","3",618
"2402","2",553
"2403","3",504
"2406","5",678
"2407","5",707
"2408","2",543
"2409","1",632
"2410","7",481
"2411","3",482
"2413","4",715
"2414","4",635
"2417","3",551
"2418","3",656
"2419","2",650
"2421","2",705
"2422","7",559
"2423","1",549
"2424","3",562
"2426","4",618
"2427","1",602
"2430","2",637
"2431","1",519
"2432","2",608
"2433","5",612
"2436","6",605
"2437","5",601
"2438","4",574
"2439","7",550
"2444","1",563
"2445","6",526
"2447","1",575
"2448","3",635
"2449","4",650
"2451","5",633
"2452","5",729
"2454","1",627
"2456","7",476
"2457","4",581
"2459","1",651
"2460","2",520
"2461","3",538
"2463","7",512
"2464","7",481
"2465","3",608
"2466","4",643
"2467","7",528
"2468","7",459
"2469","2",631
"2470","1",462
"2472","1",606
"2474","4",709
"2475","4",647
"2476","4",631
"2478","5",655
"2479","3",616
"2480","1",592
"2481","6",538
"2482","3",553
"2483","5",523
"2485","7",442
"2486","6",510
"2488","2",580
"2489","5",703
"2490","2",482
"2491","4",618
"2494","5",609
"2495","3",661
"2496","4",722
"2497","6",638
"2501","2",644
"2502","3",619
"2504","3",687
"2506","4",614
"2510","1",548
"2512","5",610
"2513","7",499
"2514","4",639
"2515","2",574
"2517","5",601
"2519","7",484
"2520","1",604
"2522","1",643
"2523","1",586
"2524","4",570
"2525","4",630
"2529","2",551
"2531","5",631
"2532","3",537
"2535","2",529
"2536","6",566
"2538","4",567
"2541","1",589
"2542","7",437
"2543","7",489
"2544","6",533
"2545","4",578
"2548","5",623
"2549","7",495
"2551","7",512
"2553","2",658
"2555","2",595
"2556","6",570
"2557","4",613
"2558","5",758
"2559","3",562
"2560","2",715
"2566","7",540
"2567","5",569
"2570","4",610
"2571","5",700
"2572","6",474
"2573","7",563
"2574","2",542
"2576","6",582
"2577","5",574
"2580","4",714
"2581","5",579
"2582","6",579
"2583","5",667
"2584","4",599
"2585","1",562
"2589","6",490
"2590","6",492
"2592","3",618
"2594","7",476
"2595","6",545
"2596","5",568
"2597","4",618
"2599","7",521
"2601","3",602
"2603","5",645
"2604","4",560
"2605","7",492
"2606","1",611
"2608","2",623
"2609","4",585
"2610","6",624
"2612","2",516
"2613","5",599
"2614","2",469
"2617","7",563
"2618","6",502
"2620","1",595
"2621","5",630
"2622","2",622
"2623","1",545
"2624","6",581
"2625","5",626
"2626","1",705
"2627","4",549
"2630","3",606
"2632","1",616
"2633","4",592
"2634","1",614
"2635","6",668
"2636","7",519
"2637","3",643
"2638","4",646
"2639","3",599
"2641","1",617
"2642","7",454
"2643","6",579
"2644","1",673
"2646","7",498
"2647","5",701
"2648","4",587
"2649","2",601
"2651","4",572
"2652","5",729
"2655","5",753
"2656","3",594
"2657","6",540
"2658","7",490
"2659","6",568
"2660","6",614
"2661","3",645
"2662","6",573
"2663","7",538
"2664","3",685
"2666","4",736
"2667","4",600
"2668","4",672
"2669","2",491
"2671","4",625
"2672","1",504
"2673","6",572
"2675","5",726
"2680","6",480
"2683","6",495
"2684","5",589
"2685","2",684
"2686","6",578
"2688","3",508
"2689","7",471
"2690","5",636
"2692","2",666
"2696","3",550
"2697","1",584
"2698","6",540
"2699","5",522
"2701","6",514
"2702","4",618
"2703","1",521
"2705","3",572
"2707","2",507
"2708","3",629
"2709","6",454
"2712","3",671
"2714","6",527
"2716","1",669
"2717","3",622
"2720","1",569
"2721","5",617
"2722","1",593
"2724","7",505
"2725","3",658
"2727","2",587
"2728","2",602
"2729","7",518
"2730","7",482
"2731","1",494
"2735","6",507
"2737","2",614
"2738","1",673
"2740","7",597
"2744","6",596
