day_num,year,month,day,collision_date,temp,max_temp,min_temp,humidity,mean_sea_level_pressure,visibility,mean_wind_speed,maximum_sustained_wind_speed,maximum_wind_gust,total_precipitation,snow_depth_inches,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,num_collisions
7,2015,01,04,2015-01-04,45.4,55.9,33.1,42.3,1010.6,5.8,5.1,8.9,19.0,0.89,0.0,0,1,0,0,0,0,322
1,2013,01,21,2013-01-21,29.8,39.9,26.1,9.3,1016.1,10.0,5.1,11.1,22.9,0.0,0.0,0,0,0,0,0,0,297
4,2016,01,14,2016-01-14,27.9,37.0,21.9,8.6,1014.2,10.0,5.1,8.9,17.1,0.0,0.0,0,0,0,0,0,0,512
4,2020,01,02,2020-01-02,39.6,48.9,33.1,22.4,1013.2,10.0,5.2,9.9,17.1,0.0,0.0,0,0,0,0,0,0,381
5,2020,01,10,2020-01-10,41.4,55.0,23.0,29.3,1035.4,10.0,5.2,8.9,15.9,0.0,0.0,0,0,0,0,0,0,475
3,2017,01,11,2017-01-11,45.8,52.0,37.9,37.8,1024.9,9.5,5.3,12.0,20.0,0.26,3.1,0,1,0,0,0,0,595
3,2013,01,02,2013-01-02,27.1,33.1,21.9,10.5,1016.8,10.0,5.3,9.9,19.0,0.0,0.0,0,0,0,0,0,0,402
5,2016,01,22,2016-01-22,25.9,36.0,21.0,5.1,1023.7,10.0,5.3,12.0,17.1,0.0,0.0,0,0,0,0,0,0,590
4,2015,01,01,2015-01-01,31.4,39.0,27.0,8.1,1019.6,10.0,5.3,9.9,25.1,0.0,0.0,0,0,0,0,0,0,328
7,2013,01,06,2013-01-06,38.3,46.0,34.0,25.0,1019.5,8.5,5.3,8.9,17.1,0.0,0.0,0,0,0,0,0,0,343
1,2020,01,06,2020-01-06,37.3,45.0,32.0,25.2,1014.3,8.9,5.4,11.1,20.0,0.04,0.0,0,0,1,0,0,0,428
6,2016,01,16,2016-01-16,46.0,52.0,34.0,37.3,999.9,8.6,5.5,11.1,19.0,0.21,0.0,0,1,0,0,0,0,475
7,2015,01,11,2015-01-11,25.7,37.0,16.0,3.0,1035.9,10.0,5.5,9.9,20.0,0.0,1.2,0,0,0,0,0,0,291
6,2015,01,24,2015-01-24,35.4,39.0,28.0,29.3,1005.6,4.2,5.5,11.1,17.1,0.66,0.0,1,1,1,0,0,0,369
5,2015,01,23,2015-01-23,32.7,39.9,28.0,15.6,1024.9,10.0,5.5,8.9,19.0,0.0,0.0,0,0,0,0,0,0,511
5,2016,01,29,2016-01-29,38.3,42.1,32.0,21.7,1001.0,9.5,5.5,12.0,22.9,0.0,5.9,0,0,0,0,0,0,558
7,2013,01,27,2013-01-27,24.5,34.0,19.0,7.5,1030.3,10.0,5.6,9.9,15.9,0.0,2.0,0,0,0,0,0,0,359
6,2014,01,11,2014-01-11,47.7,57.9,30.0,45.2,1014.7,3.1,5.6,9.9,21.0,1.4,0.0,1,1,0,0,0,0,390
