"","day_num","max_temp_standardised","num_collisions"
"2112","2",1.1002493866098,591
"2113","6",1.27357383586815,451
"2114","4",0.938107159884243,626
"2115","3",0.938107159884243,626
"2124","3",1.72645384844642,629
"2126","3",1.776773849844,609
"2127","1",0.658551596564323,633
"2128","1",1.27357383586815,617
"2132","7",1.22325383447056,494
"2133","1",1.38539606119612,626
"2134","3",1.55312939918807,627
"2135","2",1.22325383447056,661
"2136","1",1.72645384844642,719
"2137","6",1.38539606119612,471
"2139","2",1.16175161054018,587
"2140","3",0.831876045822673,605
"2141","3",0.938107159884243,611
"2142","7",1.55312939918807,545
"2143","1",1.1002493866098,597
"2145","2",1.27357383586815,664
"2146","3",1.1002493866098,614
"2149","4",1.55312939918807,620
"2150","5",1.16175161054018,753
"2151","1",1.04992938521221,667
"2152","7",1.27357383586815,471
"2153","4",1.27357383586815,584
"2154","2",1.1002493866098,638
"2155","3",1.1002493866098,604
"2157","7",1.1002493866098,476
"2158","7",1.38539606119612,574
"2160","2",0.938107159884243,662
"2162","5",1.22325383447056,603
"2163","6",0.938107159884243,389
"2164","4",1.27357383586815,741
"2165","1",1.16175161054018,505
"2167","6",1.1002493866098,599
"2168","2",1.16175161054018,680
"2169","7",1.72645384844642,566
"2170","1",0.988427161281829,567
"2172","6",1.27357383586815,577
"2174","5",1.27357383586815,798
"2175","5",0.882196047220259,659
"2176","6",1.66495162451604,490
"2178","5",1.4413071738601,638
"2179","1",1.33507605979853,637
"2180","7",1.38539606119612,464
"2181","3",1.1002493866098,698
"2184","7",1.04992938521221,512
"2185","5",1.60344940058565,733
"2186","7",1.27357383586815,564
"2187","4",1.22325383447056,438
"2188","2",1.55312939918807,727
"2189","6",1.04992938521221,585
"2191","4",1.1002493866098,611
"2193","7",0.770373821892291,376
"2194","1",1.66495162451604,641
"2195","5",1.1002493866098,752
"2196","2",1.49162717525769,638
"2197","1",1.60344940058565,698
"2199","1",0.882196047220259,618
"2200","1",1.38539606119612,649
"2202","7",1.04992938521221,529
"2203","4",1.04992938521221,550
"2204","5",1.33507605979853,753
"2205","1",0.988427161281829,488
"2206","7",0.770373821892291,540
"2209","3",0.938107159884243,657
"2211","1",1.60344940058565,581
"2212","3",1.55312939918807,630
"2213","6",1.04992938521221,649
"2214","2",1.16175161054018,524
"2215","4",0.597049372633941,522
"2217","4",1.16175161054018,658
"2219","5",0.938107159884243,653
"2220","4",0.882196047220259,587
"2222","6",1.22325383447056,558
"2223","3",1.4413071738601,658
"2224","2",1.22325383447056,571
"2225","6",0.938107159884243,536
"2227","2",1.60344940058565,648
"2230","3",1.49162717525769,747
"2231","1",1.04992938521221,533
"2232","5",1.16175161054018,642
"2233","6",0.938107159884243,516
"2234","5",1.38539606119612,654
"2235","3",1.27357383586815,677
"2236","4",1.27357383586815,567
"2237","7",0.831876045822673,508
"2238","2",1.27357383586815,646
"2239","3",1.27357383586815,620
"2240","6",1.1002493866098,561
"2241","7",1.49162717525769,475
"2242","4",1.83827607377439,636
"2243","3",0.988427161281829,571
"2244","6",0.938107159884243,534
"2245","5",0.882196047220259,624
"2246","5",1.72645384844642,697
"2247","5",1.1002493866098,612
"2248","3",1.4413071738601,432
"2250","4",1.38539606119612,731
"2251","7",1.38539606119612,551
"2252","3",1.94450718783596,559
"2253","5",1.22325383447056,360
"2254","2",1.55312939918807,688
"2255","7",1.66495162451604,477
"2256","7",1.33507605979853,497
"2258","6",1.38539606119612,623
"2259","5",1.4413071738601,666
"2260","1",0.831876045822673,614
"2261","2",0.831876045822673,540
"2262","2",0.988427161281829,584
"2263","1",1.27357383586815,564
"2264","4",1.60344940058565,591
"2267","2",0.485227147305973,553
"2268","5",1.16175161054018,747
"2269","1",1.33507605979853,617
"2270","6",1.49162717525769,516
"2271","6",1.04992938521221,513
"2273","7",1.33507605979853,447
"2274","2",1.33507605979853,616
"2276","2",1.60344940058565,582
"2277","7",1.22325383447056,537
"2278","3",1.1002493866098,706
"2280","7",1.38539606119612,441
"2284","5",1.66495162451604,774
"2285","3",0.658551596564323,635
"2286","1",1.4413071738601,528
"2287","5",1.38539606119612,707
"2288","1",1.1002493866098,693
"2289","6",1.1002493866098,595
"2291","3",1.1002493866098,607
"2292","6",0.658551596564323,528
"2293","2",1.27357383586815,583
"2295","2",1.4413071738601,594
"2296","7",1.55312939918807,538
"2299","6",1.66495162451604,586
"2300","6",1.16175161054018,498
"2301","4",1.16175161054018,623
"2303","7",1.04992938521221,451
"2304","1",1.60344940058565,727
"2305","3",0.988427161281829,635
"2307","3",1.1002493866098,612
"2310","7",0.938107159884243,439
"2311","3",0.938107159884243,683
"2313","4",1.22325383447056,604
"2314","6",0.770373821892291,622
"2315","1",1.49162717525769,725
"2316","4",0.770373821892291,539
"2318","5",1.22325383447056,638
"2319","5",1.04992938521221,709
"2320","1",1.16175161054018,591
"2321","7",0.938107159884243,606
"2322","3",1.33507605979853,618
"2323","2",1.55312939918807,699
"2324","2",0.938107159884243,654
"2325","5",0.831876045822673,674
"2326","6",0.597049372633941,480
"2327","4",1.16175161054018,717
"2328","6",0.770373821892291,570
"2330","1",1.1002493866098,595
"2331","4",1.38539606119612,759
"2332","2",0.434907145908387,595
"2335","5",1.38539606119612,576
"2336","1",1.38539606119612,614
"2337","6",0.831876045822673,526
"2339","3",1.27357383586815,591
"2342","3",1.16175161054018,569
"2343","6",1.72645384844642,650
"2344","7",1.27357383586815,527
"2347","5",0.988427161281829,617
"2348","2",0.938107159884243,526
"2349","7",0.720053820494705,451
"2351","6",1.55312939918807,551
"2353","1",0.770373821892291,620
"2354","5",1.60344940058565,769
"2355","4",0.882196047220259,686
"2356","2",1.38539606119612,574
"2359","6",0.882196047220259,575
"2361","5",0.485227147305973,604
"2362","6",0.882196047220259,505
"2363","5",0.938107159884243,599
"2364","4",0.720053820494705,507
"2365","6",1.1002493866098,512
"2366","5",1.36303161613052,756
"2367","4",1.16175161054018,659
"2368","1",0.720053820494705,473
"2370","3",1.16175161054018,528
"2372","3",1.1002493866098,655
"2373","7",1.55312939918807,552
"2374","2",0.546729371236355,577
"2375","2",0.988427161281829,547
"2376","6",0.938107159884243,552
"2377","6",1.22325383447056,539
"2378","2",0.938107159884243,701
"2379","7",0.546729371236355,467
"2380","6",1.16175161054018,568
"2382","5",1.16175161054018,749
"2383","4",1.22325383447056,713
"2386","7",1.4413071738601,573
"2387","2",1.33507605979853,606
"2389","3",1.27357383586815,522
"2392","3",1.22325383447056,600
"2393","6",1.04992938521221,504
"2394","7",1.04992938521221,499
"2395","3",1.04992938521221,660
"2396","5",0.938107159884243,681
"2397","5",1.16175161054018,707
"2400","1",1.49162717525769,632
"2401","3",1.49162717525769,618
"2402","2",0.938107159884243,553
"2403","3",0.831876045822673,504
"2406","5",0.938107159884243,678
"2407","5",1.27357383586815,707
"2408","2",0.938107159884243,543
"2409","1",1.16175161054018,632
"2410","7",1.38539606119612,481
"2411","3",1.22325383447056,482
"2413","4",0.882196047220259,715
"2414","4",1.1002493866098,635
"2417","3",1.04992938521221,551
"2418","3",1.38539606119612,656
"2419","2",1.22325383447056,650
"2421","2",1.49162717525769,705
"2422","7",1.33507605979853,559
"2423","1",1.27357383586815,549
"2424","3",1.38539606119612,562
"2426","4",1.22325383447056,618
"2427","1",0.988427161281829,602
"2430","2",0.938107159884243,637
"2431","1",0.938107159884243,519
"2432","2",1.33507605979853,608
"2433","5",0.988427161281829,612
"2436","6",1.1002493866098,605
"2437","5",1.22325383447056,601
"2438","4",1.04992938521221,574
"2439","7",1.33507605979853,550
"2444","1",1.38539606119612,563
"2445","6",0.938107159884243,526
"2447","1",1.22325383447056,575
"2448","3",1.26239161333535,635
"2449","4",1.1002493866098,650
"2451","5",0.831876045822673,633
"2452","5",1.27357383586815,729
"2454","1",1.22325383447056,627
"2456","7",0.597049372633941,476
"2457","4",1.27357383586815,581
"2459","1",1.27357383586815,651
"2460","2",0.882196047220259,520
"2461","3",1.38539606119612,538
"2463","7",1.27357383586815,512
"2464","7",0.988427161281829,481
"2465","3",1.04992938521221,608
"2466","4",0.988427161281829,643
"2467","7",0.988427161281829,528
"2468","7",0.988427161281829,459
"2469","2",0.720053820494705,631
"2470","1",0.770373821892291,462
"2472","1",0.597049372633941,606
"2474","4",1.38539606119612,709
"2475","4",1.27357383586815,647
"2476","4",0.882196047220259,631
"2478","5",0.988427161281829,655
"2479","3",0.720053820494705,616
"2480","1",1.66495162451604,592
"2481","6",1.22325383447056,538
"2482","3",0.485227147305973,553
"2483","5",1.1002493866098,523
"2485","7",1.04992938521221,442
"2486","6",0.831876045822673,510
"2488","2",0.720053820494705,580
"2489","5",1.27357383586815,703
"2490","2",0.882196047220259,482
"2491","4",0.938107159884243,618
"2494","5",0.938107159884243,609
"2495","3",1.33507605979853,661
"2496","4",1.16175161054018,722
"2497","6",1.16175161054018,638
"2501","2",1.49162717525769,644
"2502","3",1.33507605979853,619
"2504","3",0.831876045822673,687
"2506","4",1.1002493866098,614
"2510","1",0.882196047220259,548
"2512","5",1.22325383447056,610
"2513","7",1.22325383447056,499
"2514","4",1.22325383447056,639
"2515","2",1.38539606119612,574
"2517","5",0.988427161281829,601
"2519","7",0.882196047220259,484
"2520","1",1.27357383586815,604
"2522","1",1.60344940058565,643
"2523","1",1.1002493866098,586
"2524","4",1.22325383447056,570
"2525","4",1.22325383447056,630
"2529","2",0.938107159884243,551
"2531","5",0.938107159884243,631
"2532","3",1.04992938521221,537
"2535","2",0.546729371236355,529
"2536","6",1.16175161054018,566
"2538","4",1.04992938521221,567
"2541","1",1.04992938521221,589
"2542","7",0.831876045822673,437
"2543","7",1.1002493866098,489
"2544","6",1.22325383447056,533
"2545","4",1.38539606119612,578
"2548","5",1.38539606119612,623
"2549","7",1.38539606119612,495
"2551","7",1.16175161054018,512
"2553","2",1.27357383586815,658
"2555","2",1.33507605979853,595
"2556","6",0.720053820494705,570
"2557","4",1.1002493866098,613
"2558","5",1.22325383447056,758
"2559","3",0.988427161281829,562
"2560","2",1.60344940058565,715
"2566","7",1.22325383447056,540
"2567","5",1.38539606119612,569
"2570","4",0.938107159884243,610
"2571","5",0.988427161281829,700
"2572","6",1.04992938521221,474
"2573","7",1.38539606119612,563
"2574","2",1.27357383586815,542
"2576","6",1.49162717525769,582
"2577","5",1.27357383586815,574
"2580","4",1.1002493866098,714
"2581","5",1.1002493866098,579
"2582","6",1.22325383447056,579
"2583","5",1.04992938521221,667
"2584","4",0.658551596564323,599
"2585","1",0.485227147305973,562
"2589","6",0.720053820494705,490
"2590","6",0.988427161281829,492
"2592","3",1.22325383447056,618
"2594","7",0.938107159884243,476
"2595","6",1.04992938521221,545
"2596","5",0.988427161281829,568
"2597","4",0.882196047220259,618
"2599","7",1.72645384844642,521
"2601","3",0.882196047220259,602
"2603","5",1.04992938521221,645
"2604","4",1.1002493866098,560
"2605","7",1.16175161054018,492
"2606","1",1.1002493866098,611
"2608","2",1.66495162451604,623
"2609","4",0.988427161281829,585
"2610","6",1.27357383586815,624
"2612","2",0.988427161281829,516
"2613","5",1.04992938521221,599
"2614","2",1.1002493866098,469
"2617","7",0.988427161281829,563
"2618","6",1.16175161054018,502
"2620","1",0.938107159884243,595
"2621","5",1.16175161054018,630
"2622","2",1.4413071738601,622
"2623","1",0.831876045822673,545
"2624","6",1.22325383447056,581
"2625","5",0.988427161281829,626
"2626","1",1.33507605979853,705
"2627","4",0.882196047220259,549
"2630","3",1.38539606119612,606
"2632","1",1.22325383447056,616
"2633","4",0.882196047220259,592
"2634","1",1.4413071738601,614
