day_num,year,month,day,collision_date,temp,max_temp,min_temp,humidity,mean_sea_level_pressure,visibility,mean_wind_speed,maximum_sustained_wind_speed,maximum_wind_gust,total_precipitation,snow_depth_inches,num_collisions
4,2020,01,23,2020-01-23,38.7,46.9,25.0,16.8,1029.0,10.0,,,,0.0,0.0,451
6,2020,05,30,2020-05-30,72.2,81.0,66.9,58.1,1011.6,9.8,,,,0.05,0.0,226
7,2020,06,14,2020-06-14,63.6,75.0,54.0,42.0,1027.1,10.0,,,,0.0,0.0,228
7,2020,06,07,2020-06-07,71.2,86.0,63.0,45.4,1011.1,10.0,,,,0.05,0.0,206
1,2020,05,25,2020-05-25,61.8,71.1,52.0,54.0,1023.1,9.2,,,,0.0,0.0,214
4,2020,05,21,2020-05-21,55.4,68.0,46.0,40.6,1029.3,10.0,,,,0.0,0.0,212
5,2020,06,05,2020-06-05,73.0,79.0,69.1,67.0,1011.9,7.4,,,,0.27,0.0,248
3,2020,06,03,2020-06-03,69.0,78.1,59.0,58.7,1005.4,8.6,,,,0.29,0.0,216
3,2020,05,20,2020-05-20,57.0,68.0,51.1,34.3,1029.6,10.0,,,,0.0,0.0,192
6,2020,06,13,2020-06-13,68.9,84.9,60.1,44.2,1020.5,10.0,,,,0.0,0.0,282
5,2020,05,22,2020-05-22,62.9,77.0,46.0,53.1,1022.3,9.4,,,,0.0,0.0,264
7,2020,01,26,2020-01-26,42.6,51.1,37.9,32.8,1008.5,10.0,,,,0.85,0.0,398
3,2020,05,27,2020-05-27,66.7,79.0,57.9,59.5,1023.0,9.2,,,,0.0,0.0,239
1,2020,06,08,2020-06-08,69.3,79.0,59.0,44.3,1015.8,10.0,,,,0.0,0.0,235
5,2020,01,24,2020-01-24,43.6,51.1,33.1,22.9,1027.4,9.4,,,,0.0,0.0,524
4,2020,06,18,2020-06-18,70.0,78.1,60.1,63.9,1021.8,9.6,,,,0.0,0.0,226
5,2020,05,29,2020-05-29,72.0,81.0,64.0,66.4,1015.7,8.8,,,,0.0,0.0,258
3,2020,01,22,2020-01-22,30.0,37.9,19.9,12.7,1030.7,10.0,,,,0.0,0.0,489
2,2020,05,26,2020-05-26,65.9,78.1,55.0,58.1,1022.7,7.8,,,,0.0,0.0,224
2,2020,05,19,2020-05-19,60.2,70.0,54.0,38.0,1022.7,10.0,,,,0.0,0.0,229
1,2020,11,09,2020-11-09,63.2,75.0,54.0,45.4,1026.6,8.9,0.8,4.1,,0.0,0.0,318
4,2020,10,22,2020-10-22,65.8,68.0,59.0,63.1,1023.6,4.8,0.9,4.1,,0.0,0.0,264
5,2020,10,23,2020-10-23,64.8,68.0,62.6,62.0,1021.8,5.9,0.9,5.1,,0.0,0.0,337
6,2020,08,01,2020-08-01,78.3,88.0,70.0,65.4,1012.5,10.0,1.1,6.0,,0.78,0.0,375
3,2020,07,29,2020-07-29,82.3,93.0,77.0,66.6,1012.2,10.0,1.1,7.0,,0.0,0.0,318
3,2020,10,21,2020-10-21,63.4,71.1,57.0,61.3,1024.4,6.5,1.1,4.1,,0.0,0.0,338
5,2020,07,31,2020-07-31,75.3,91.9,70.0,68.0,1009.5,7.3,1.1,7.0,,0.86,0.0,343
6,2020,06,20,2020-06-20,76.0,86.0,64.9,64.4,1017.7,10.0,1.2,5.1,,0.0,0.0,246
2,2020,07,21,2020-07-21,84.3,93.0,77.0,63.4,1014.9,10.0,1.5,5.1,,0.0,0.0,331
5,2020,09,25,2020-09-25,69.1,77.0,62.1,57.8,1018.0,8.2,1.5,5.1,,0.0,0.0,348
2,2020,09,08,2020-09-08,74.1,84.0,66.0,63.7,1020.2,10.0,1.5,6.0,,0.0,0.0,337
6,2020,07,18,2020-07-18,80.9,91.0,69.1,65.9,1017.3,9.8,1.5,4.1,,0.01,0.0,316
4,2020,08,13,2020-08-13,76.4,90.0,72.0,70.5,1018.2,8.6,1.6,6.0,,1.76,0.0,275
1,2020,07,06,2020-07-06,80.9,96.1,70.0,64.2,1015.7,8.6,1.6,7.0,20.0,0.0,0.0,257
5,2020,07,17,2020-07-17,73.8,84.0,69.1,65.6,1020.7,9.9,1.7,7.0,15.0,0.02,0.0,308
7,2020,04,05,2020-04-05,53.1,64.9,46.0,43.1,1016.5,10.0,1.8,5.1,,0.01,0.0,94
3,2020,07,01,2020-07-01,72.4,80.1,66.9,63.9,1011.6,9.6,1.8,7.0,,0.0,0.0,259
3,2020,09,09,2020-09-09,74.1,84.0,68.0,66.6,1024.3,10.0,1.9,5.1,,0.0,0.0,292
3,2020,10,28,2020-10-28,54.2,57.0,51.8,48.4,1017.8,7.2,1.9,7.0,,0.04,0.0,309
3,2020,07,08,2020-07-08,77.7,82.9,72.0,71.2,1016.1,9.4,2.0,5.1,,0.0,0.0,267
7,2020,07,05,2020-07-05,79.4,91.9,68.0,64.2,1013.5,8.2,2.0,5.1,,0.0,0.0,290
3,2020,08,19,2020-08-19,71.3,82.0,63.0,60.9,1012.8,9.4,2.1,6.0,,0.01,0.0,286
7,2020,06,28,2020-06-28,79.5,90.0,70.0,67.8,1006.5,9.5,2.1,6.0,19.0,0.09,0.0,240
1,2020,12,21,2020-12-21,40.5,46.0,30.9,33.3,1011.1,6.8,2.1,7.0,,0.01,5.9,268
4,2020,08,06,2020-08-06,76.0,86.0,71.1,61.3,1018.7,10.0,2.1,6.0,,0.0,0.0,356
6,2020,02,01,2020-02-01,40.6,44.1,33.1,35.3,1015.0,6.8,2.1,6.0,,0.02,0.0,409
4,2020,09,24,2020-09-24,69.2,79.0,57.0,52.3,1014.5,10.0,2.2,5.1,,0.0,0.0,297
3,2020,09,16,2020-09-16,63.0,70.0,54.0,51.3,1023.6,10.0,2.2,8.0,,0.0,0.0,307
2,2020,10,20,2020-10-20,62.6,71.1,51.1,58.9,1024.1,8.4,2.2,4.1,,0.0,0.0,336
2,2020,10,06,2020-10-06,62.2,70.0,53.1,50.8,1019.4,10.0,2.2,5.1,14.0,0.0,0.0,325
7,2020,11,08,2020-11-08,65.0,75.0,55.9,42.9,1026.6,9.9,2.3,6.0,,0.0,0.0,326
6,2020,04,25,2020-04-25,52.1,64.9,44.1,40.0,1015.7,10.0,2.3,9.9,17.1,0.22,0.0,152
7,2020,06,21,2020-06-21,76.5,88.0,70.0,64.5,1015.8,10.0,2.3,5.1,,0.0,0.0,245
4,2020,05,14,2020-05-14,57.1,66.9,41.0,29.5,1024.6,10.0,2.3,6.0,,0.0,0.0,171
4,2020,08,20,2020-08-20,71.5,79.0,62.1,53.9,1017.0,10.0,2.3,6.0,,0.13,0.0,306
