"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","max_temp_standardised","num_collisions"
"89",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,-1.68412402405661,0.288617886178862
"90",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,-1.79594624938458,0.41260162601626
"91",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,-2.13700403663488,0.861788617886179
"92",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,-1.41575068326949,0.288617886178862
"93",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,-1.52757290859745,0.349593495934959
"94",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,-1.15296845374876,0.50609756097561
"95",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,-0.962870670691215,0.384146341463415
"96",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,-1.57789290999504,0.443089430894309
"97",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,-1.74562624798699,0.502032520325203
"98",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,-0.62740399470731,0.436991869918699
"99",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,-0.286346207457008,0.361788617886179
"100",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,-1.18092401008075,0.623983739837398
"101",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,-1.63380402265902,0.524390243902439
"102",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,-1.18092401008075,0.577235772357724
"103",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,-1.13060400868317,0.111788617886179
"104",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,-2.24882626196285,0.642276422764228
"105",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,-1.52757290859745,0.457317073170732
"106",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,-0.739226220035278,0.41869918699187
"107",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018,-1.52757290859745,0.5
"108",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,0.155351582588467,0.25
"109",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,0.155351582588467,0.17479674796748
"110",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,-1.24242623401113,0.280487804878049
"111",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,-1.29274623540872,0.341463414634146
"112",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,-1.24242623401113,0.390243902439024
"113",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,-1.29274623540872,0.209349593495935
"114",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,-1.57789290999504,0.636178861788618
"115",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,-0.962870670691215,0.268292682926829
"116",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,-1.46607068466707,0.420731707317073
"117",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,-1.29274623540872,0.298780487804878
"118",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,-1.57789290999504,0.495934959349593
"119",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,-0.521172880645741,0.319105691056911
"120",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,-0.962870670691215,0.774390243902439
"121",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,-1.96927069864293,0.745934959349594
"122",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,-0.521172880645741,0.0569105691056911
"123",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,-1.79594624938458,0.0934959349593496
"124",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,-1.41575068326949,0.0040650406504065
"125",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,-0.962870670691215,0.32520325203252
"126",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,-0.62740399470731,0.426829268292683
"127",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,-0.912550669293629,0.121951219512195
"128",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,-0.571492882043326,0.34349593495935
"129",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,-1.79594624938458,0.258130081300813
"130",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,-1.63380402265902,0.709349593495935
"131",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,-1.46607068466707,0.0853658536585366
"132",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,-0.739226220035278,0.560975609756098
"133",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,-1.07469289601918,0.0813008130081301
"134",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,-1.13060400868317,0.215447154471545
"135",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,-1.29274623540872,0.59349593495935
"136",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,-0.739226220035278,0.426829268292683
"137",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,-1.46607068466707,0.152439024390244
"138",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,-1.41575068326949,0.497967479674797
"139",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,-0.521172880645741,0.363821138211382
"140",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,-1.74562624798699,0.154471544715447
"141",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,-1.57789290999504,0.548780487804878
"142",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,-0.409350655317773,0.227642276422764
"143",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,-2.18732403803247,0.416666666666667
"144",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018,-0.236026206059422,0.713414634146341
"145",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,-1.41575068326949,0.422764227642276
"146",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,-0.851048445363247,0.33130081300813
"147",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,-1.13060400868317,0.341463414634146
"148",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,-0.739226220035278,0.199186991869919
"149",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,-1.24242623401113,0.152439024390244
"150",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,-1.29274623540872,0.107723577235772
"151",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,-2.36064848729082,0.601626016260163
"152",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,-1.18092401008075,0.321138211382114
"153",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,-0.962870670691215,0.410569105691057
"154",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,-1.63380402265902,0.49390243902439
"155",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,-1.29274623540872,0.140243902439024
"156",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,-1.3542484593391,0.49390243902439
"157",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,-0.739226220035278,0.481707317073171
"158",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,-1.41575068326949,0.0569105691056911
"159",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,-2.29914626336043,0.652439024390244
"160",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,-0.962870670691215,0.644308943089431
"161",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2014,-2.0810929239709,0.247967479674797
"162",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,-1.63380402265902,0.583333333333333
"163",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,-1.29274623540872,0.290650406504065
"164",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018,-2.64020405061074,0.247967479674797
"165",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,-0.571492882043326,0.335365853658537
"166",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,-1.3542484593391,0.398373983739837
"167",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,-1.68412402405661,0.333333333333333
"168",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,0.0435293572604984,0.595528455284553
"169",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,-2.47247071261878,0.534552845528455
"170",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,-1.0243728946216,0.459349593495935
"171",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,-1.63380402265902,0.310975609756098
"172",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,-1.3542484593391,0.288617886178862
"173",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,-0.0179728666698838,0.510162601626016
"174",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,-1.13060400868317,0.160569105691057
